Year,"GDP 
(constant LCU)","Medium and high-tech exports
 (% manufactured exports)","Foreign direct investment, net inflows 
(BoP, current US$)"
1960,,,
1961,,,
1962,,,
1963,,,
1964,,,
1965,,,
1966,,,
1967,,,
1968,,,
1969,,,
1970,,,7.00E+04
1971,,,1.82E+06
1972,,,-8.90E+05
1973,,,1.03E+06
1974,,,1.25E+06
1975,,,4.09E+06
1976,,,-3.40E+05
1977,,,-1.00E+04
1978,,,4.63E+05
1979,,,-6.00E+04
1980,,,1.67E+06
1981,,,1.79E+07
1982,,,1.31E+07
1983,,,1.31E+05
1984,5.31E+14,,6.90E+05
1985,5.51E+14,,-8.00E+04
1986,5.67E+14,,4.00E+04
1987,5.87E+14,,1.04E+07
1988,6.17E+14,,7.68E+06
1989,6.62E+14,,4.07E+06
1990,6.96E+14,1.64E+01,1.80E+08
1991,7.38E+14,1.64E+01,3.75E+08
1992,8.01E+14,1.64E+01,4.74E+08
1993,8.66E+14,1.64E+01,9.26E+08
1994,9.43E+14,1.64E+01,1.94E+09
1995,1.03E+15,1.64E+01,1.78E+09
1996,1.13E+15,1.64E+01,2.40E+09
1997,1.22E+15,1.64E+01,2.22E+09
1998,1.29E+15,2.06E+01,1.67E+09
1999,1.35E+15,1.95E+01,1.41E+09
2000,1.45E+15,2.15E+01,1.30E+09
2001,1.53E+15,2.07E+01,1.30E+09
2002,1.63E+15,1.77E+01,1.40E+09
2003,1.74E+15,1.86E+01,1.45E+09
2004,1.88E+15,2.04E+01,1.61E+09
2005,2.02E+15,2.14E+01,1.95E+09
2006,2.16E+15,2.30E+01,2.40E+09
2007,2.31E+15,2.41E+01,6.70E+09
2008,2.44E+15,2.58E+01,9.58E+09
2009,2.57E+15,2.56E+01,7.60E+09
2010,2.74E+15,2.80E+01,8.00E+09
2011,2.92E+15,3.37E+01,7.43E+09
2012,3.08E+15,4.36E+01,8.37E+09
2013,3.25E+15,4.74E+01,8.90E+09
2014,3.46E+15,4.65E+01,9.20E+09
2015,3.70E+15,4.92E+01,1.18E+10
2016,3.94E+15,5.13E+01,1.26E+10
2017,4.22E+15,5.47E+01,1.41E+10
2018,4.53E+15,5.46E+01,1.55E+10
2019,4.87E+15,5.40E+01,1.61E+10
2020,5.01E+15,5.75E+01,1.58E+10
2021,5.13E+15,5.83E+01,1.57E+10
2022,5.55E+15,5.75E+01,1.79E+10
2023,5.83E+15,5.70E+01,1.85E+10
